word,reading,furigana
どうも有難う,どうもありがとう,{どうも有難う|どうも|ありがとう}
プー太郎,プーたろう,{プー太郎|プー|たろう}
プー太郎,ぷうたろう,{プー太郎|ぷう|たろう}
一途,いちず,{一途|いち|ず}
三位一体,さんみいったい,{三位一体|さん|み|いっ|たい}
上海,シャンハイ,{上海|シャン|ハイ}
主体,しゅたい,{主体|しゅ|たい}
主体,チュチェ,{主体|チュチェ}
亀甲,きっこう,{亀甲|きっ|こう}
予言,よげん,{予言|よ|げん}
予言,かねごと,{予言|かね|ごと}
二七日,ふたなぬか,{二七日|ふた|なぬ|か}
二十歳,はたとせ,{二十歳|はた|とせ}
伯楽,ばくろう,{伯楽|ばく|ろう}
伯父,えおじ,{伯父|え|おじ}
健気,けなげ,{健気|けな|げ}
儒艮,ジュゴン,{儒艮|ジュゴン}
先生,せんせい,{先生|せん|せい}
先生,シーサン,{先生|シーサン}
公司,コンス,{公司|コンス}
切支丹,キリシタン,{切支丹|キリシタン}
刻々,ギザギザ,{刻々|ギザギザ}
前後,ぜんご,{前後|ぜん|ご}
前後,まえしりえ,{前後|まえ|しりえ}
加特力,カトリック,{加特力|カトリック}
北,きた,{北|きた}
北,ペー,{北|ペー}
北,ほく,{北|ほく}
北京,ペキン,{北京|ペキン}
南,みなみ,{南|みなみ}
南,ナン,{南|ナン}
南,なん,{南|なん}
博多,はかた,{博多|はか|た}
厄瓜多,エクアドル,{厄瓜多|エクアドル}
叢立ち,むらだち,{叢立ち|むら|だち}
叢立ち,そうだち,{叢立ち|そう|だち}
古加涅,コカイン,{古加涅|コカイン}
可哀想,かわいそう,{可哀想|かわい|そう}
可愛い,かわいい,{可愛い|かわい|い}
可愛い,かわゆい,{可愛い|かわゆ|い}
可愛がる,かわいがる,{可愛がる|かわい|がる}
可愛らしい,かわいらしい,{可愛らしい|かわい|らしい}
合気道,あいきどう,{合気道|あい|き|どう}
合羽,カッパ,{合羽|カッパ}
名簿,めいぼ,{名簿|めい|ぼ}
名簿,みょうぶ,{名簿|みょう|ぶ}
呆然,ぼうぜん,{呆然|ぼう|ぜん}
和地関,バチカン,{和地関|バチカン}
団栗,どんぐり,{団栗|どんぐり}
土,つち,{土|つち}
土,ど,{土|ど}
土,に,{土|に}
土,ト,{土|ト}
型録,カタログ,{型録|カタログ}
垣間見る,かいまみる,{垣間見る|かいま|みる}
執拗い,しつこい,{執拗い|しつこ|い}
場合,ばあい,{場合|ば|あい}
場合,ばやい,{場合|ば|やい}
塞爾維,セルビア,{塞爾維|セルビア}
塩梅,あんばい,{塩梅|あん|ばい}
塵,ゴミ,{塵|ゴミ}
士篤恒,ストックホルム,{士篤恒|ストックホルム}
大分,だいぶ,{大分|だい|ぶ}
大分,おおいた,{大分|おお|いた}
